added,channel_count,total_capacity,tor_nodes,clearnet_nodes,unannounced_nodes,clearnet_tor_nodes
1598054400000,29587,76609369572,2072,2448,909,423
1598140800000,29666,76842408816,2081,2452,907,424
1598227200000,29922,77517030976,2087,2451,909,428
1598313600000,30073,77544538271,2091,2466,927,428
1598400000000,29943,77142326615,2087,2463,921,429
1598486400000,29953,77314686166,2092,2466,927,429
1598572800000,29920,77435153801,2093,2461,936,431
1598659200000,29786,77751463479,2090,2458,939,430
1598745600000,29981,78385107280,2099,2461,947,432
1598832000000,30172,78939441818,2107,2467,952,434
1598918400000,30112,79222501682,2111,2462,956,433
1599004800000,29888,79303971028,2107,2454,958,433
1599091200000,29986,79663059538,2113,2455,960,434
1599177600000,30023,79694416314,2118,2456,964,434
1599264000000,30058,79868329546,2122,2457,968,434
1599350400000,30039,79817664488,2119,2458,965,434
1599436800000,29953,79779508805,2122,2458,966,432
1599523200000,29976,80473215981,2126,2444,948,432
1599609600000,30158,80953107921,2137,2452,949,432
1599696000000,30236,81159721719,2143,2455,947,432
1599782400000,30221,81388434650,2143,2459,940,431
1599868800000,30145,81059406884,2143,2458,933,431
1599955200000,30354,81644661287,2153,2462,928,431
1600041600000,30364,81549774814,2149,2465,926,432
1600128000000,30299,81657338068,2154,2465,926,432
1600214400000,30240,81611611887,2148,2466,918,431
1600300800000,30259,81650845556,2152,2466,916,431
1600387200000,30146,81879787883,2161,2462,913,432
1600473600000,29913,82016379482,2159,2458,912,428
1600560000000,29322,81542748492,2157,2441,900,426
1600646400000,29384,82165023371,2156,2441,900,425
1600732800000,29301,82669330321,2155,2436,900,425
1600819200000,29207,83162429109,2152,2435,897,425
1600905600000,29288,83326011984,2159,2440,900,427
1600992000000,29358,83649380018,2162,2443,904,428
1601078400000,29437,83788138204,2166,2453,907,431
1601164800000,29561,84140275213,2182,2452,911,435
1601251200000,29544,84223783363,2184,2438,906,436
1601337600000,29516,84277404323,2182,2438,906,436
1601424000000,29512,84124969872,2182,2435,905,435
1601510400000,29540,84261402672,2186,2444,903,437
1601596800000,29509,84434868263,2185,2446,901,437
1601683200000,29520,84529442698,2183,2442,901,439
1601769600000,29506,84687187034,2180,2444,905,438
1601856000000,29967,84912080990,2192,2444,903,436
1601942400000,29993,84730421805,2193,2408,901,437
1602028800000,29952,84691053616,2193,2384,897,436
1602115200000,29935,84518845815,2192,2393,895,436
1602201600000,29949,84364469416,2195,2393,893,437
1602288000000,29912,84476078854,2202,2391,885,437
1602374400000,29878,84319582462,2197,2392,885,439
1602460800000,29911,85266093408,2199,2400,888,440
1602547200000,29948,85640726443,2202,2425,902,441
1602633600000,29964,85611695913,2205,2425,904,441
1602720000000,30035,85615765498,2209,2426,905,442
1602806400000,30122,85462252441,2210,2450,905,442
1602892800000,30099,85745511232,2213,2448,903,443
1602979200000,30143,85591306804,2220,2450,903,444
1603065600000,30112,84899695691,2217,2451,902,445
1603152000000,30070,85575286368,2219,2448,902,446
1603238400000,30015,85167351728,2219,2451,903,445
1603324800000,29900,84655010169,2223,2444,902,444
1603411200000,29850,84617152224,2225,2443,897,443
1603497600000,29832,84250185414,2221,2435,899,443
1603584000000,29434,82659078864,2220,2438,895,443
1603670400000,29393,82270950287,2223,2437,895,443
1603756800000,29355,82570036784,2224,2418,881,445
1603843200000,29258,82239617108,2222,2415,877,443
1603929600000,29223,82213499491,2222,2414,877,447
1604016000000,28885,81867451423,2221,2407,879,447
1604102400000,28767,81271841196,2218,2404,874,446
1604188800000,28627,80337537043,2219,2402,873,446
1604275200000,28544,79897386324,2223,2401,871,446
1604361600000,28310,79102092944,2209,2397,863,444
1604448000000,28289,78435179551,2208,2413,875,445
1604534400000,28054,78390074595,2207,2399,875,446
1604620800000,27909,77984519951,2207,2398,876,445
1604707200000,27852,77848407874,2212,2390,873,446
1604793600000,27904,78174308993,2225,2389,872,446
1604880000000,28001,78342450057,2245,2413,873,447
1604966400000,28221,79262715558,2263,2437,875,448
1605052800000,28281,79585554415,2272,2439,873,448
1605139200000,28379,80231913239,2279,2440,875,451
1605225600000,28469,80679093655,2289,2450,878,451
1605312000000,28490,80575638778,2294,2450,879,451
1605398400000,28738,81072867869,2307,2468,879,450
1605484800000,28961,81492444475,2322,2486,880,448
1605571200000,28947,81372592142,2321,2489,879,447
1605657600000,28979,81653615222,2325,2490,881,447
1605744000000,29066,81779439562,2327,2511,881,448
1605830400000,29034,81394940318,2329,2521,878,447
1605916800000,29115,81679719082,2331,2543,876,449
1606003200000,29192,82313963965,2343,2546,877,449
1606089600000,29231,82311088293,2361,2543,875,449
1606176000000,29112,81493499294,2367,2550,873,450
1606262400000,29053,81302257821,2366,2550,871,449
1606348800000,28914,81254329387,2356,2552,873,448
1606435200000,28771,80800887923,2355,2548,875,448
1606521600000,28785,80678261960,2357,2554,875,448
1606608000000,28882,80433079657,2368,2610,872,450
1606694400000,28920,80430970340,2373,2629,875,451
1606780800000,28891,80615560133,2378,2626,873,451
1606867200000,28858,80687609679,2383,2625,872,451
1606953600000,28831,80649626222,2385,2628,873,451
1607040000000,28786,80798536132,2383,2626,873,451
1607126400000,28803,80844994212,2384,2638,872,451
1607212800000,28833,80814269283,2392,2638,870,452
1607299200000,28980,81174227003,2410,2639,874,454
1607385600000,29017,81677284663,2418,2640,874,454
1607472000000,29075,81788125706,2423,2641,872,456
1607558400000,29062,81715878129,2424,2636,872,459
1607644800000,29011,81709005162,2418,2637,869,459
1607731200000,28977,81607758811,2430,2631,866,458
1607817600000,28987,81639877831,2434,2630,864,459
1607904000000,29117,82085481332,2449,2631,864,459
1607990400000,29190,82452913822,2453,2637,863,459
1608076800000,29197,82406650437,2455,2634,857,457
1608163200000,29100,82403887726,2455,2629,858,457
1608249600000,28956,81882443744,2450,2627,854,457
1608336000000,28972,82193010344,2451,2630,853,457
1608422400000,28976,82163294107,2453,2633,855,459
1608508800000,29026,82317694273,2451,2644,853,460
1608595200000,28973,82207195431,2444,2648,852,458
1608681600000,28954,81996763920,2449,2654,851,457
1608768000000,28938,81981849770,2457,2658,850,456
1608854400000,28962,81771445386,2465,2665,853,457
1608940800000,28993,81615358438,2472,2666,859,456
1609027200000,28966,81564654371,2475,2617,862,454
1609113600000,28978,81489887365,2496,2650,859,456
1609200000000,29016,81460497264,2523,2661,860,456
1609286400000,29113,81105211865,2530,2711,860,456
1609372800000,29353,80209122308,2548,2725,883,457
1609459200000,29357,80129954976,2557,2723,884,459
1609545600000,29434,80245849163,2583,2722,890,460
1609632000000,29473,80202887440,2605,2706,891,460
1609718400000,29456,80598203914,2615,2705,890,462
1609804800000,29475,80590401468,2631,2703,892,463
1609891200000,29555,80740249141,2640,2699,893,467
1609977600000,29635,80706141320,2656,2702,898,468
1610064000000,29651,80818110635,2661,2704,903,470
1610150400000,29678,81366051024,2669,2704,901,471
1610236800000,29699,80977025858,2682,2706,900,472
1610323200000,29778,80849649634,2685,2716,899,473
1610409600000,29769,80836308805,2684,2729,899,472
1610496000000,29804,81592611476,2687,2731,902,474
1610582400000,29783,81592760279,2690,2728,901,475
1610668800000,29790,81550195307,2703,2727,901,475
1610755200000,29753,81408728446,2709,2730,901,477
1610841600000,29769,81339220838,2725,2728,908,479
1610928000000,29896,81248418444,2738,2728,917,479
1611014400000,29888,81093195901,2755,2730,918,483
1611100800000,29940,81336689864,2764,2728,920,485
1611187200000,29967,81235160954,2779,2729,920,484
1611273600000,29894,81070743398,2788,2727,920,484
1611360000000,29857,80921355721,2798,2725,918,486
1611446400000,29977,81238309376,2829,2724,918,487
1611532800000,30179,81384519345,2867,2721,917,486
1611619200000,30053,80598422208,2883,2708,917,486
1611705600000,30130,80653458190,2902,2709,919,487
1611792000000,30163,80364528658,2923,2709,917,487
1611878400000,30233,80599805808,2935,2703,912,488
1611964800000,30114,80157611196,2939,2698,911,487
1612051200000,30111,79917005106,2954,2696,908,488
1612137600000,30185,79545302368,2972,2695,905,489
1612224000000,30147,79248002283,2976,2690,905,488
1612310400000,30159,78806990458,2983,2691,920,486
1612396800000,30299,79010654656,3009,2687,982,486
1612483200000,30331,78958691356,3015,2687,979,485
1612569600000,30430,79326994135,3028,2685,1033,486
1612656000000,30472,79412405977,3046,2686,1035,486
1612742400000,30616,79431867994,3072,2686,1035,486
1612828800000,30709,79834814912,3089,2684,1037,485
1612915200000,30732,80093872345,3091,2687,1036,486
1613001600000,30748,80181893674,3094,2683,1037,487
1613088000000,30742,80090602227,3102,2677,1037,487
1613174400000,30749,80068206441,3106,2678,1040,489
1613260800000,30809,80062468090,3131,2680,1042,489
1613347200000,30908,80396209420,3154,2687,1042,491
1613433600000,30989,80673833824,3171,2690,1042,492
1613520000000,30989,80793310993,3186,2688,1040,491
1613606400000,31067,81010269702,3203,2691,1081,492
1613692800000,31091,81132987422,3214,2688,1125,492
1613779200000,31108,81357444466,3228,2686,1141,493
1613865600000,31283,81340117818,3250,2817,1140,493
1613952000000,31161,80181075187,3264,2821,1139,494
1614038400000,31139,80174642040,3277,2821,1138,495
1614124800000,31052,80060309798,3285,2823,1138,496
1614211200000,31074,80148990821,3297,2829,1137,496
1614297600000,31081,80202707119,3321,2833,1135,495
1614384000000,31177,80145940752,3342,2837,1161,496
1614470400000,31340,80848060578,3371,2838,1166,496
1614556800000,31430,81004387815,3387,2838,1167,498
1614643200000,31525,81288192522,3398,2840,1170,500
1614729600000,31568,81671280211,3418,2838,1167,500
1614816000000,31607,81968266607,3435,2830,1168,503
1614902400000,31507,82331408690,3442,2665,1169,507
1614988800000,31580,82678525089,3464,2667,1167,506
